1. feature 5432 EGR1|1958 (0.020395)
2. feature 15504 SARDH|1757 (0.019133)
3. feature 8774 KCNE1|3753 (0.011747)
4. feature 9577 LILRB3|11025 (0.011337)
5. feature 7745 HEPACAM|220296 (0.011127)
6. feature 10961 MKI67|4288 (0.011046)
7. feature 9267 KRT7|3855 (0.010225)
8. feature 11006 MMD|23531 (0.010132)
9. feature 6489 FLJ33630|644873 (0.009983)
10. feature 2955 CAPN9|10753 (0.009974)
11. feature 1631 BTBD11|121551 (0.009682)
12. feature 3010 CASZ1|54897 (0.009208)
13. feature 5629 EPB49|2039 (0.008980)
14. feature 8222 ICK|22858 (0.008826)
15. feature 5690 ERCC8|1161 (0.008680)
16. feature 2865 CACNA1H|8912 (0.008642)
17. feature 5666 EPS8L2|64787 (0.008541)
18. feature 11188 MRPS11|64963 (0.008172)
19. feature 15306 RPS6KA3|6197 (0.007852)
20. feature 19718 YJEFN3|374887 (0.007410)
21. feature 8853 KCTD12|115207 (0.007089)
22. feature 4237 CRHR2|1395 (0.006925)
23. feature 4813 DEFB109P1|245912 (0.006670)
24. feature 9101 KLB|152831 (0.006649)
25. feature 370 ADPGK|83440 (0.006643)
26. feature 10784 MED8|112950 (0.006573)
27. feature 337 ADCY6|112 (0.006559)
28. feature 2982 CARTPT|9607 (0.006480)
29. feature 19320 VAMP3|9341 (0.006410)
30. feature 3521 CDT1|81620 (0.006370)
31. feature 17475 SULT1A3|6818 (0.006324)
32. feature 17425 STRAP|11171 (0.006266)
33. feature 16935 SNRNP70|6625 (0.006239)
34. feature 6899 GBP3|2635 (0.005951)
35. feature 8416 IL23A|51561 (0.005911)
36. feature 11945 NME1|4830 (0.005880)
37. feature 684 ANKRD11|29123 (0.005801)
38. feature 6746 FZD3|7976 (0.005668)
39. feature 4257 CRNKL1|51340 (0.005668)
40. feature 3360 CD55|1604 (0.005622)
41. feature 15849 SF1|7536 (0.005511)
42. feature 14083 PRKG1|5592 (0.005488)
43. feature 11187 MRPS10|55173 (0.005417)
44. feature 16617 SNORA1|677792 (0.005337)
45. feature 7124 GMEB1|10691 (0.005314)
46. feature 1529 BLMH|642 (0.005228)
47. feature 2019 C17orf55|284185 (0.005194)
48. feature 11204 MRPS28|28957 (0.005191)
49. feature 1277 ATPIF1|93974 (0.005164)
50. feature 6611 FOXF1|2294 (0.005115)
