1. feature 10044 LOC441454|441454 (0.019544)
2. feature 3869 CLEC3A|10143 (0.009772)
3. feature 19906 ZFYVE19|84936 (0.009772)
4. feature 15264 RPPH1|85495 (0.009772)
5. feature 8434 IL33|90865 (0.009772)
6. feature 17996 THSD4|79875 (0.006515)
7. feature 3198 CCDC89|220388 (0.006515)
8. feature 2328 C21orf121|150142 (0.006515)
9. feature 19139 UGDH|7358 (0.006515)
10. feature 19401 VPS13C|54832 (0.006515)
11. feature 7827 HIST1H1T|3010 (0.006515)
12. feature 12090 NR3C2|4306 (0.006515)
13. feature 4975 DKFZp566F0947|94023 (0.006515)
14. feature 15063 RNF141|50862 (0.006515)
15. feature 1769 C11orf68|83638 (0.006515)
16. feature 13304 PGLS|25796 (0.006515)
17. feature 1153 ATF3|467 (0.006515)
18. feature 12030 NPDC1|56654 (0.006515)
19. feature 17750 TBL1X|6907 (0.006515)
20. feature 7506 GSTT2|2953 (0.006515)
21. feature 11559 NAT14|57106 (0.006515)
22. feature 1381 BAMBI|25805 (0.006515)
23. feature 4628 DACT1|51339 (0.006515)
24. feature 7387 GPS1|2873 (0.003257)
25. feature 6631 FOXO3B|2310 (0.003257)
26. feature 20257 ZNF570|148268 (0.003257)
27. feature 3436 CDH12|1010 (0.003257)
28. feature 20243 ZNF556|80032 (0.003257)
29. feature 13028 PCDHA8|56140 (0.003257)
30. feature 4597 CYP4X1|260293 (0.003257)
31. feature 17319 ST6GALNAC4|27090 (0.003257)
32. feature 7386 GPRIN3|285513 (0.003257)
33. feature 3662 CHADL|150356 (0.003257)
34. feature 16408 SLC6A9|6536 (0.003257)
35. feature 20239 ZNF551|90233 (0.003257)
36. feature 17592 SYTL5|94122 (0.003257)
37. feature 18886 TTLL13|440307 (0.003257)
38. feature 18694 TRIM72|493829 (0.003257)
39. feature 13769 POLR3F|10621 (0.003257)
40. feature 11781 NELL1|4745 (0.003257)
41. feature 9897 LOC284440|284440 (0.003257)
42. feature 19940 ZMIZ1|57178 (0.003257)
43. feature 15840 SETD8|387893 (0.003257)
44. feature 4613 CYTL1|54360 (0.003257)
45. feature 18106 TMC3|342125 (0.003257)
46. feature 16400 SLC6A20|54716 (0.003257)
47. feature 7136 GNA11|2767 (0.003257)
48. feature 16402 SLC6A3|6531 (0.003257)
49. feature 4609 CYTH2|9266 (0.003257)
50. feature 20229 ZNF540|163255 (0.003257)
